32,2651,Liuy,Slabicki,1979 Marcus Ave.,Westwood,NJ,7675
34,2723,Waylon,Johnson,440 Richmond Park East,Hamden,CT,06517-2703
35,4010.0,Robert,Morgan,48289 Fremont Blvd,Carrollton,TX,75006
36,1516,Christian,Annamanaidu,213 N. College Dr.,Omaha,NE,68127
38,2743,Aneta,Beier,8204 Anderson Road,Temple,TX,76504
39,3738,Philip,Fernandes,136 Gales Drive,Richmond Hts,OH,44143
40,4066,Chris,Roby,182 Greylock Parkway,Sacto,CA,95814
41,2816.0,Gopinath,Kumari,35 Manor Dr. Apt# 5-O,Queens Village,NY,11428
42,2551,Harriet,Pardo,141 Summit Street,Waldorf,MN,56091
43,3128,Brent,Haldorai,1427 Valley,Huntsville,AL,35806
44,4770,Jeremy,Miller,625 Woodsmoke,Plano,TX,75023
45,332,Phyllis,Jain,75 Lexington Court,Austin,MN,55912
46,2819,Randy,Nataraj,1409 Coliseum Blvd,Wesley Chapel,FL,33544
47,4400,Timothy,Sellers,13700 Sutton Park Dr N -- #322,Dallas,TX,75287
48,933,Deanna,Allen,766 Willow Ridge Dr,Demotte,IN,46310
49,4303,Walter,Huebner,100 Peachtree St.,Jacksonville,FL,32217
50,4804,Larry,Hutcheson,2902 Cannons Lane,Coffeyville,KS,67337
51,1591,Eduardo,Green,1240 E. Diehl Road,Columbia,SC,29209
52,4191,Mike,Azure,304 Combs,Mendon,NY,14606
53,3104,Donald,Dardac,4232 Judah,Irving,TX,75038
54,2430,Jose,Deguzman,4168 Woodland Road,Brooklyn,NY,11226
55,705,Jonathan,Wolff,7921 Lamar,Ann Arbor,MI,48108
56,3323,Mark,Johnson,1538 Harmon Cove Tower,Greenville,NC,27889
57,2508,Alan,Leach,147 Bear Creek Pike,Dallas,TX,75218-3995
58,3247,Robert,Marlatt,P.P. Box 139,Yorktown Heights,NY,10598
59,4822.0,Lk,Perlman,505 Ellis Blvd,Philadelphia,PA,19122-6083
60,4371,Scott,Brown,919  137Th Avenue Ne,Kansas City,KS,66102
61,2573,George,Stein,95 Carleton St,New Milford,NJ,7646
62,2209,Robert,Petway,303 3Rd Ave Se,Jacksonville,FL,32224
63,4191,Timothy,Robinson,3075 Highland Parkway,Westland,MI,48185
64,1401,Mark,Goodwin,6639 Capitol Blvd,Montgomery,AL,36130
65,791,Rick,Mallipeddi,1876 Woodhollow Dr,Milpitas,CA,95035
66,673,Bry,Buford,540 W North West Highway,New York,NY,10005
67,598,Mark,Fritz,16 Erie,Hosuton,TX,77077
68,3588,Karen,Hamilton,18 Marvin Dr.  Apt#B-5,Cincinnati,OH,45263
69,445,George,Ybarra,6 Oneill Ct,Detroit,MI,48206-1775
70,936,Joanne,Varghese,7178 Talhelm Road,Fort Wayne,IN,46805-1499
71,4257,Anita,Santos,1640 Barrington Lane,Barrington,IL,60448
72,3541.0,Jing peng,Kieffer,1492 Highland Lakes Trail,Ringgold,GA,30736
73,1748,Glenda,Seaver,23 Holohan Drive,Mountlake Terrace,WA,98043
74,137,Lakshman,Knox,9074 Estes St,Austin,TX,78759
75,4743,Alex,Wigton,5033 Montego Bay Dr,Brooklyn,NY,11245
76,2839,Jagriti,Ryan,115 Audubon Cove,Kingsport,TN,37663
77,4236,Andrea,Latheef,17 Potter Road,Jacksonville,FL,32256
78,902,Andrew,Konow,25677 Wistereia Ct,Greenville,SC,29607
79,963,Simon,Chang,8317 Cabin Creek Drive,Oshkosh,WI,54901
80,4409,Chong,Garcia,28000 Dequindre,Fairfax,VA,22033
81,187,Brandon,Schlusselberg,303 South Second St.,Collinsville,IL,62234-2973
82,1980,Dinesh,Boan,11582 Rusk Cove,Charlotte,NC,28270
83,1874,Tai-yen,Dalton,115 Tower Drive,Round Rock,TX,78681
84,2166,Frank,Wieneke,2111 Bancroft Way,Birmingham,AL,35226
85,2120,Thell,Trujillo,1204 Keller Lane,Fairfield,IA,52556
86,4609,Joe,Ritz,7404 Lomo Alto,Plano,TX,75024
